target,tier,model,scheme,n,rmse_log,mae_log,r2_log,medape,r2_fold_mean,r2_fold_sd,rmse_fold_mean,rmse_fold_sd,r2_main_stem,rmse_main_stem,r2_reservoir,rmse_reservoir,r2_treatment,rmse_treatment,r2_tributary,rmse_tributary,best_params,seconds
THMFP,3,hgb,forward,176,0.3075210480472696,0.2559398899347446,-0.095391910455703,0.4069883876550315,-0.095391910455703,0.0,0.3075210480472696,0.0,-1.0999423207023264,0.2795001700666956,-0.7079483075867539,0.42020470639861,-0.0123182442271017,0.3000243402750126,-1.7073320156064424,0.294900921407185,"{'l2_regularization': 0.64, 'learning_rate': 0.028, 'max_depth': 2.0, 'max_iter': 131.0, 'min_samples_leaf': 15.0}",0.5
THMFP,3,xgb,forward,176,0.3171867917467484,0.2634869881823144,-0.1653329476391369,0.4464888881076579,-0.1653329476391369,0.0,0.3171867917467484,0.0,-1.2824238081747763,0.2913912710466749,-0.7295235372022704,0.4228504426227825,-0.1433730856149448,0.3188540517104615,-1.4870207307525716,0.2826474506355235,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 353.0, 'reg_lambda': 9.479, 'subsample': 0.641}",0.4
HAAFP,1,ridge,random,1384,0.1776011861815392,0.1206468493325151,0.6269381193456981,0.1962912187345162,0.6235711623431589,0.0797858693492134,0.1766005724584342,0.0188156809329223,0.262051983321003,0.1853783257414014,0.5364555080727245,0.1689391767176219,0.5047583089218597,0.1624464621012238,0.3783251602673495,0.1967330187977612,,0.0
HAAFP,1,hgb,random,1384,0.157006497185398,0.1130199909648392,0.70844237738433,0.1966430921462418,0.7059611776240009,0.0635003758876087,0.1560780738131157,0.0169368939233255,0.4892676842767818,0.1542207246785492,0.4391281957492206,0.185830273024643,0.6106999217874888,0.1440269964206036,0.5294196049366033,0.1711640387928429,"{'l2_regularization': 0.58, 'learning_rate': 0.063, 'max_depth': 5.0, 'max_iter': 279.0, 'min_samples_leaf': 11.5}",4.6
HAAFP,1,xgb,random,1384,0.1534951575024074,0.1111360534370944,0.7213375130229922,0.1893158222544944,0.7186332037592227,0.0662142627281514,0.1524753604185415,0.0174602522699474,0.5116787782886183,0.1507991417377775,0.4775748768039952,0.1793480618863108,0.617788949012529,0.1427096293887176,0.5619859103636964,0.1651351977779405,"{'colsample_bytree': 0.742, 'learning_rate': 0.026, 'max_depth': 3.0, 'min_child_weight': 3.5, 'n_estimators': 455.0, 'reg_lambda': 2.194, 'subsample': 0.885}",3.3
HAAFP,2,ridge,random,1384,0.1646677242711788,0.1175943115298706,0.6792947140225715,0.20001422282699,0.676661626080823,0.0537486038113468,0.164046646201613,0.0142397775656638,0.3219652178715529,0.1776937108805426,0.5740915876321752,0.16193576230531,0.6166905947089543,0.1429145335734952,0.4933801037053159,0.1775974523107646,,0.1
HAAFP,2,hgb,random,1384,0.1452440313126327,0.1034884471584486,0.7504912732481789,0.1732826074152136,0.7481609394413045,0.0441726302808189,0.1446549676538312,0.0128577057963755,0.5334499075712444,0.1473992285169517,0.484130160039805,0.1782192984979779,0.7030191440329628,0.1257957259511092,0.6134869043707887,0.1551235435975212,"{'l2_regularization': 0.415, 'learning_rate': 0.055, 'max_depth': 4.5, 'max_iter': 470.0, 'min_samples_leaf': 16.5}",5.3
HAAFP,2,xgb,random,1384,0.1463662105640223,0.1034115630717155,0.746620888329533,0.1733289088075575,0.744053869620103,0.0498947125458215,0.1456919231522378,0.0138389855227898,0.5365529643006242,0.146908229538325,0.4977605054110204,0.1758490763903236,0.6955553112974671,0.1273666890550164,0.5727827207395949,0.1630872521969504,"{'colsample_bytree': 0.66, 'learning_rate': 0.087, 'max_depth': 3.0, 'min_child_weight': 2.5, 'n_estimators': 404.0, 'reg_lambda': 0.704, 'subsample': 0.858}",3.7
HAAFP,3,ridge,random,1384,0.156156043121423,0.1117393934828326,0.7115923720564002,0.1865964695952974,0.7100533375071699,0.0418270326947189,0.1555571429872509,0.0135451132499238,0.5103611683789648,0.1510024511411786,0.5629092717576878,0.1640478179332167,0.5737657028052036,0.1507043730762201,0.4947782081662093,0.1773522277001841,,0.1
HAAFP,3,hgb,random,1384,0.142476622090242,0.1000904068132795,0.7599087286651669,0.1643870424986044,0.758781477592032,0.0354168696890901,0.1418877575821758,0.0126925235804534,0.5841048233754811,0.1391675598275279,0.5449978501554487,0.1673753064945345,0.6747523321959565,0.1316463292400209,0.6065938929391146,0.1565006549083646,"{'l2_regularization': 0.707, 'learning_rate': 0.083, 'max_depth': 5.0, 'max_iter': 351.0, 'min_samples_leaf': 16.5}",5.7
HAAFP,3,xgb,random,1384,0.1391536830692044,0.0975392549024689,0.7709772831829887,0.1651473234749481,0.7701012334847879,0.0370905622288301,0.1384685874632777,0.0136111343427252,0.6123285279842022,0.1343624741051829,0.5861313501077475,0.1596305191699349,0.6700919289224141,0.1325861404726707,0.6312515898572564,0.1515167648583996,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 4.0, 'n_estimators': 353.0, 'reg_lambda': 6.541, 'subsample': 0.715}",4.5
HAAFP,1,ridge,month,692,0.1914245984502766,0.1293398694947693,0.56660425756741,0.2097015968736107,0.56886061161221,0.3179749662291344,0.1767083519662563,0.0716023586540743,0.0825421198543722,0.2066993629628716,0.4776589297447633,0.1793336336575129,0.4815191331675895,0.1662141624988626,0.276084208074713,0.2122949365415882,,0.0
HAAFP,1,hgb,month,692,0.2022211944371462,0.1392537827689482,0.5163374139587384,0.227553219700358,0.5303164193601926,0.2628056758882075,0.1877421021467614,0.073041027062698,-0.1297935388848605,0.2293747529921484,0.2317261405055181,0.2174917006766662,0.5356143144269987,0.1573044724571143,0.3307191624519286,0.2041266959059162,"{'l2_regularization': 0.482, 'learning_rate': 0.089, 'max_depth': 2.5, 'max_iter': 343.0, 'min_samples_leaf': 10.0}",3.3
