target,tier,model,path,best_params,r2_random,r2_month,r2_site,r2_forward
THMFP,3,xgb,models/THMFP_tier3_xgb.joblib,"{'model__colsample_bytree': np.float64(0.6515705190619413), 'model__learning_rate': np.float64(0.041348365501126375), 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 353, 'model__reg_lambda': np.float64(9.47867594863468), 'model__subsample': np.float64(0.6408179242992113)}",0.7150117630190135,0.5307550432768713,0.7000574938321794,-0.1653329476391369
HAAFP,3,xgb,models/HAAFP_tier3_xgb.joblib,"{'model__colsample_bytree': np.float64(0.6473097703475733), 'model__learning_rate': np.float64(0.0872872913642806), 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 181, 'model__reg_lambda': np.float64(0.1628602939690251), 'model__subsample': np.float64(0.789440167738663)}",0.7709772831829887,0.6143224429939069,0.6773159011978129,0.5242850238196243
