target,feature,x,y_pred
HAAFP,log_HS,3.2624455968851875,-0.9623924
HAAFP,log_HS,3.3153633183337194,-0.91371095
HAAFP,hist_mean_y,-1.515136150772919,-1.114218
HAAFP,hist_mean_y,-1.470019524441888,-1.1070994
HAAFP,hist_mean_y,-1.4426516537596077,-1.1126353
HAAFP,hist_mean_y,-1.4027472650136326,-1.1126353
HAAFP,hist_mean_y,-1.3632062282380524,-1.1202683
HAAFP,hist_mean_y,-1.3161621931401426,-1.1072606
HAAFP,hist_mean_y,-1.2918129841606947,-1.1072606
HAAFP,hist_mean_y,-1.262903995195388,-1.1035677
HAAFP,hist_mean_y,-1.2406851539397068,-1.1003077
HAAFP,hist_mean_y,-1.2278220285439367,-1.1003077
HAAFP,hist_mean_y,-1.1969833987044174,-1.0990815
HAAFP,hist_mean_y,-1.174514400972918,-1.0990815
HAAFP,hist_mean_y,-1.11647690922065,-1.0381961
HAAFP,hist_mean_y,-1.0861579427626418,-1.0258543
HAAFP,hist_mean_y,-1.065288413035275,-1.0257134
HAAFP,hist_mean_y,-1.0227199467078756,-1.0240902
HAAFP,hist_mean_y,-0.9902502408173798,-1.0240902
HAAFP,hist_mean_y,-0.9634623631785012,-1.0230409
HAAFP,hist_mean_y,-0.9506103257819527,-1.0230409
HAAFP,hist_mean_y,-0.9353360573635925,-1.0233704
HAAFP,hist_mean_y,-0.9277236312046009,-1.0282722
HAAFP,hist_mean_y,-0.9209857492803502,-1.0282722
HAAFP,hist_mean_y,-0.9118860624915482,-1.0282722
HAAFP,hist_mean_y,-0.901567765887934,-1.0282722
HAAFP,hist_mean_y,-0.8916756300344215,-1.0279526
HAAFP,hist_mean_y,-0.8831876639599259,-1.0277437
HAAFP,hist_mean_y,-0.8693522762091975,-1.0250987
HAAFP,hist_mean_y,-0.8536537328769433,-1.0250987
HAAFP,hist_mean_y,-0.8388001968966314,-1.0250987
HAAFP,hist_mean_y,-0.8053305734812375,-1.0131812
HAAFP,up_y,-1.5228787452803376,-1.1807227
HAAFP,up_y,-1.4436974992327127,-1.1807227
HAAFP,up_y,-1.408935392973501,-1.1565129
HAAFP,up_y,-1.3565473235138126,-1.155379
HAAFP,up_y,-1.3098039199714864,-1.1516812
HAAFP,up_y,-1.2676062401770314,-1.1516812
HAAFP,up_y,-1.2441251443275085,-1.1482675
HAAFP,up_y,-1.213635238038481,-1.1436182
HAAFP,up_y,-1.1804560644581312,-1.1349909
HAAFP,up_y,-1.154901959985743,-1.1114897
HAAFP,up_y,-1.1307682802690238,-1.1114897
HAAFP,up_y,-1.1135092748275182,-1.1116272
HAAFP,up_y,-1.0861861476162833,-1.1116272
HAAFP,up_y,-1.0563645322181476,-1.1116698
HAAFP,up_y,-1.0457574905606752,-1.1115885
HAAFP,up_y,-1.0220176503736111,-1.0574532
HAAFP,up_y,-1.0036197782734113,-1.0635085
HAAFP,up_y,-0.969466918284985,-1.0635085
HAAFP,up_y,-0.949244464902477,-1.0570518
HAAFP,up_y,-0.9281179926938746,-1.0559111
HAAFP,up_y,-0.9030899869919435,-1.0559111
HAAFP,up_y,-0.8961962790440432,-1.0559111
HAAFP,up_y,-0.8632794328435931,-1.0559111
HAAFP,up_y,-0.8125719628020861,-1.0596482
HAAFP,up_y,-0.7770734217883148,-1.0558064
HAAFP,up_y,-0.7491059765879632,-1.0591555
HAAFP,up_y,-0.7198429070344485,-1.0591555
HAAFP,up_y,-0.7033348097384688,-1.0622706
HAAFP,up_y,-0.6733867693189268,-1.0727409
HAAFP,up_y,-0.6332978566212728,-1.0727409
HAAFP,log_TOC,0.14402835972483954,-1.1226025
HAAFP,log_TOC,0.17864109127652436,-1.1059487
HAAFP,log_TOC,0.2098034522090668,-1.1061637
HAAFP,log_TOC,0.24123905906225052,-1.1053985
HAAFP,log_TOC,0.25812174806237426,-1.1051757
HAAFP,log_TOC,0.2776925661062787,-1.1018466
HAAFP,log_TOC,0.2863995412804153,-1.08403
HAAFP,log_TOC,0.3010299956639812,-1.08403
HAAFP,log_TOC,0.3222192947339193,-1.083616
HAAFP,log_TOC,0.3344537511509309,-1.083616
HAAFP,log_TOC,0.3424226808222063,-1.0786067
HAAFP,log_TOC,0.35243346360162214,-1.0778228
HAAFP,log_TOC,0.36172783601759284,-1.0725821
HAAFP,log_TOC,0.372175286115064,-1.0681461
HAAFP,log_TOC,0.38021124171160603,-1.0681461
HAAFP,log_TOC,0.3979400086720376,-1.0625776
HAAFP,log_TOC,0.4086764307505071,-1.064087
HAAFP,log_TOC,0.4230536702831782,-1.0647624
HAAFP,log_TOC,0.43136376415898736,-1.0647624
HAAFP,log_TOC,0.44643358117989573,-1.0487512
HAAFP,log_TOC,0.46002692038069337,-1.0487512
HAAFP,log_TOC,0.47060296325413375,-1.0487512
HAAFP,log_TOC,0.4852403000184569,-1.0487512
HAAFP,log_TOC,0.505149978319906,-1.0485317
HAAFP,log_TOC,0.5185139398778874,-1.0403926
HAAFP,log_TOC,0.5319992244841075,-1.0403926
HAAFP,log_TOC,0.5558690929844713,-1.0302179
HAAFP,log_TOC,0.5797589623361873,-1.0302179
HAAFP,log_TOC,0.6032129045537318,-1.02894
HAAFP,log_TOC,0.6729096241037512,-1.0311533
